DDCTransactionId38FEDB7B4D7938998B274988CC1B595A_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2022.06.29-16.34.46, Duration=3.665302, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionIdE4FC7382409272635A39B0860CE17800_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__BCAC7ABACC5B5D4A6DC129FB4BB94D4A3E089E06, StartTime=2022.06.29-16.34.46, HierarchicalDDC=, DataSize=262405, Duration=0.049397, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId2A05CF884CB630843AC99B896BE013BC_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__D20BFAB030FB8CFC04A0587A92BEDA874205D3CA, StartTime=2022.06.29-16.34.46, HierarchicalDDC=, DataSize=65797, Duration=0.034701, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId9BEA97B74A90BA3F7E0673830CBA22EF_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5, StartTime=2022.06.29-16.34.46, HierarchicalDDC=, DataSize=22958, Duration=0.017602, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId38FEDB7B4D7938998B274988CC1B595A_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBABC8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2022.06.29-16.34.46, Duration=375.279510, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId4DC9FE884F9726865EEBA583411E81E9_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__948ECD6FE901F74B4A2F247027DC9DCAFDBCD692, StartTime=2022.06.29-16.34.47, HierarchicalDDC=, DataSize=4194569, Duration=3.181100, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionIdBBC3BF9F4EEBFA5B308090AE76306D17_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__29EEB3628395245A647535BD652E940B87E203BB, StartTime=2022.06.29-16.34.47, HierarchicalDDC=, DataSize=1048841, Duration=0.363100, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId9BEA97B74A90BA3F7E0673830CBA22EF_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__B4077EDD9E35C5D375C5957E85D234439DEBF00E, StartTime=2022.06.29-16.34.47, HierarchicalDDC=, DataSize=262407, Duration=0.143297, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId9BEA97B74A90BA3F7E0673830CBA22EF_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__2620E9522DF2F957F65A2D699B197BD7E0F4140C, StartTime=2022.06.29-16.34.47, HierarchicalDDC=, DataSize=65799, Duration=0.056602, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
DDCTransactionId9BEA97B74A90BA3F7E0673830CBA22EF_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__4B4C8FD1611F8D550AE3DE23D6B59F0781B3F5F4, StartTime=2022.06.29-16.34.47, HierarchicalDDC=, DataSize=16647, Duration=0.016000, RunGuid=RunIDA553489C4AF6111B8228C3A1BAF8D6E1
